filename,company,rating_raw,rating_normalized,target_price,current_price,upside,securities_firm,analyst,report_date,thesis,sector,page_count
sample_001.pdf,삼성전자,매수,BUY,95000,68500,38.7,미래에셋증권,김철수,2026-01-05,HBM3E 공급 확대와 파운드리 턴어라운드로 실적 개선 기대. 반도체 업사이클 핵심 수혜주.,AI·반도체,24
sample_002.pdf,삼성전자,매수,BUY,92000,70000,31.4,삼성증권,이영희,2026-01-12,온디바이스 AI 탑재 스마트폰 교체 수요 증가. HBM 공급 확대로 영업이익 개선 예상.,AI·반도체,20
sample_003.pdf,삼성전자,매수,BUY,90000,71000,26.8,KB증권,박민준,2026-02-03,파운드리 미세공정 수율 개선. 로직 반도체 신규 고객사 확보로 실적 턴어라운드 기대.,AI·반도체,18
sample_004.pdf,SK하이닉스,매수,BUY,280000,185000,51.4,미래에셋증권,김철수,2026-01-08,엔비디아 HBM3E 최대 공급사 지위 유지. HBM4 전환 기대감으로 ASP 대폭 상승 전망.,AI·반도체,22
sample_005.pdf,SK하이닉스,매수,BUY,265000,192000,38.0,NH투자증권,정수진,2026-02-10,HBM 시장 점유율 50% 이상 유지. AI 인프라 투자 지속으로 DRAM 수급 타이트.,AI·반도체,25
sample_006.pdf,SK하이닉스,매수,BUY,270000,200000,35.0,한국투자증권,오재현,2026-03-05,HBM4 양산 가속화. 데이터센터 DRAM 수요 폭증으로 2026년 사상 최대 영업이익 전망.,AI·반도체,19
sample_007.pdf,NAVER,매수,BUY,250000,195000,28.2,삼성증권,이영희,2026-01-15,AI 검색 클로바X 트래픽 회복세. 클라우드 및 커머스 성장으로 사상 최대 매출 전망.,AI·반도체,16
sample_008.pdf,NAVER,중립,HOLD,195000,190000,2.6,대신증권,최지훈,2026-02-20,경쟁 심화로 검색 점유율 방어 필요. 실적 개선은 2H26 이후 확인 필요.,AI·반도체,14
sample_009.pdf,NAVER,매수,BUY,240000,198000,21.2,하나증권,신예린,2026-03-15,하이퍼클로바X 기업 고객사 확대. 라인야후 지분가치 재평가 가능성 부각.,AI·반도체,17
sample_010.pdf,LG에너지솔루션,매수,BUY,500000,370000,35.1,미래에셋증권,김철수,2026-01-10,IRA 보조금 본격 수혜. GM·Ford 수주 증가로 캐파 가동률 상승 및 고정비 레버리지.,배터리·전기차,28
sample_011.pdf,LG에너지솔루션,매수,BUY,480000,375000,28.0,KB증권,박민준,2026-02-05,46파이 원통형 배터리 테슬라 공급 확대. ESS 시장 점유율 확대로 성장성 부각.,배터리·전기차,24
sample_012.pdf,LG에너지솔루션,중립,HOLD,380000,372000,2.2,대신증권,최지훈,2026-03-20,배터리 메탈 가격 하락으로 ASP 하락 압박. 단기 실적 모멘텀 약화로 중립 유지.,배터리·전기차,16
sample_013.pdf,삼성SDI,매수,BUY,400000,280000,42.9,NH투자증권,정수진,2026-01-20,유럽 전기차 회복과 ESS 수요 증가. 46파이 배터리 양산으로 수익성 개선 기대.,배터리·전기차,22
sample_014.pdf,삼성SDI,중립,HOLD,285000,278000,2.5,한국투자증권,오재현,2026-03-01,전기차 성장 둔화 우려 지속. 배터리 원가 경쟁 심화로 마진 압박 지속.,배터리·전기차,18
sample_015.pdf,에코프로비엠,매수,BUY,230000,145000,58.6,미래에셋증권,김철수,2026-02-15,양극재 수직계열화 완성. 전구체 내재화로 원가 절감 및 마진 회복 기대.,배터리·전기차,20
sample_016.pdf,에코프로비엠,매도,SELL,105000,142000,-26.1,대신증권,최지훈,2026-03-25,배터리 메탈 가격 추가 하락 시 수익성 훼손 우려. 과도한 밸류에이션 부담 존재.,배터리·전기차,16
sample_017.pdf,현대차,매수,BUY,300000,235000,27.7,삼성증권,이영희,2026-01-25,글로벌 하이브리드 수요 급증 수혜. 배당 확대 정책과 자사주 매입으로 주주환원 강화.,소비·내수,22
sample_018.pdf,현대차,매수,BUY,310000,238000,30.3,KB증권,박민준,2026-02-28,인도 시장 판매 호조. 미국 관세 리스크 제한적이며 전동화 라인업 강화.,소비·내수,19
sample_019.pdf,현대차,매수,BUY,295000,242000,21.9,하나증권,신예린,2026-04-05,아이오닉9 글로벌 출시 성공. 수소차 넥쏘2 기대감으로 중장기 성장 가시성 확보.,소비·내수,21
sample_020.pdf,기아,매수,BUY,140000,105000,33.3,미래에셋증권,김철수,2026-01-18,EV6·EV9 미국 판매 호조. 인도 시장 점유율 확대로 신흥국 성장 모멘텀 지속.,소비·내수,18
sample_021.pdf,기아,매수,BUY,135000,107000,26.2,NH투자증권,정수진,2026-03-10,PBV 라인업 확대. 유럽 EV 보조금 회복으로 판매 증가 기대.,소비·내수,20
sample_022.pdf,셀트리온,매수,BUY,240000,178000,34.8,한국투자증권,오재현,2026-01-22,짐펜트라 미국 침투율 20% 돌파 임박. 바이오시밀러 파이프라인 FDA 심사 순조.,바이오·헬스케어,24
sample_023.pdf,셀트리온,매수,BUY,235000,182000,29.1,삼성증권,이영희,2026-02-25,스텔라라 바이오시밀러 유럽 시장 출시. 구독형 처방 모델로 안정적 매출 성장.,바이오·헬스케어,20
sample_024.pdf,셀트리온,중립,HOLD,183000,180000,1.7,대신증권,최지훈,2026-04-01,파이프라인 FDA 심사 지연 가능성. 단기 모멘텀 약화로 중립 의견 유지.,바이오·헬스케어,16
sample_025.pdf,삼성바이오로직스,매수,BUY,1200000,820000,46.3,미래에셋증권,김철수,2026-02-01,CMO 수주 잔고 역대 최대. 5공장 착공으로 중장기 캐파 증설 가속화.,바이오·헬스케어,26
sample_026.pdf,삼성바이오로직스,매수,BUY,1150000,835000,37.7,KB증권,박민준,2026-03-15,4공장 가동률 95% 돌파로 고정비 레버리지 효과. 글로벌 CMO 점유율 확대.,바이오·헬스케어,22
sample_027.pdf,한화에어로스페이스,매수,BUY,550000,390000,41.0,NH투자증권,정수진,2026-01-28,K9 자주포 폴란드 2차 계약 실행 본격화. 사우디·루마니아 신규 수출 협상 진행 중.,방산·우주,24
sample_028.pdf,한화에어로스페이스,매수,BUY,580000,400000,45.0,한국투자증권,오재현,2026-02-18,K방산 수출 모멘텀 지속. 우주발사체 사업 가시화로 신성장 동력 확보.,방산·우주,20
sample_029.pdf,한화에어로스페이스,매수,BUY,560000,415000,34.9,삼성증권,이영희,2026-03-28,방산 수출 수주 잔고 30조 돌파. 항공엔진 사업 글로벌 확장으로 미래 수익성 개선.,방산·우주,22
sample_030.pdf,HD현대중공업,매수,BUY,290000,215000,34.9,미래에셋증권,김철수,2026-02-08,LNG선 발주 사이클 2026년 피크 전망. 카타르 프로젝트 추가 수주 기대감 반영.,조선·해운,22
